0	744	-8192	2306
1	876	-8192	2221
2	963	-8189	2445
3	797	-8191	2461
4	852	-8152	2138
5	1102	-7937	2105
6	1017	-7893	2246
7	722	-8154	1967
8	552	-8192	2233
9	895	-8192	2113
10	1008	-8080	1814
11	598	-8192	2238
12	551	-8192	2320
13	959	-8192	2404
14	980	-8192	2454
15	584	-8192	2839
16	949	-8192	2741
17	1364	-8192	2735
18	878	-8180	3514
19	758	-8192	2490
20	996	-8183	2012
21	1052	-8176	2274
22	848	-8192	2540
23	870	-8192	2114
24	1136	-8192	1696
25	1195	-8192	2139
26	887	-8192	2728
27	782	-8192	2377
28	1073	-8192	1882
29	1130	-8192	2312
30	583	-8192	3206
31	597	-8192	2786
32	1064	-8192	2382
33	970	-8192	3031
34	762	-8192	3604
35	984	-8192	2750
36	1128	-8192	2862
37	736	-8192	3420
38	780	-8192	2818
39	1314	-8192	1906
40	1264	-8192	2538
41	1153	-8192	2785
42	843	-8192	2356
43	1222	-8192	2278
44	1342	-8192	2034
45	816	-8192	2585
46	810	-8192	2507
47	1240	-8192	2248
48	962	-8192	2796
49	522	-8192	3287
50	634	-8192	2742
51	829	-8192	2864
52	429	-8192	2934
53	327	-8192	2698
54	928	-8192	1907
55	938	-8192	2326
56	476	-8192	2876
57	554	-8192	2433
58	983	-8192	1976
59	1025	-8192	2150
60	787	-8192	1845
61	558	-8192	2713
62	863	-8192	2524
63	1011	-8192	2892
64	656	-8192	3286
65	848	-8192	2868
66	1187	-8192	2432
67	903	-8192	2874
68	637	-8192	2624
69	986	-8192	1774
70	1215	-8192	1899
71	818	-8192	2352
72	635	-8192	2252
73	858	-8192	2027
74	1012	-8192	2284
75	679	-8192	2693
76	437	-8192	2849
77	772	-8192	2677
78	934	-8192	2785
79	576	-8192	3357
80	732	-8192	2489
81	897	-8192	2572
82	670	-8192	3153
83	600	-8192	2417
84	748	-8192	1873
85	702	-8192	2731
86	685	-8192	2502
87	854	-8192	1485
88	964	-8192	1015
89	881	-8192	1829
90	605	-8192	2831
91	726	-8192	2153
92	893	-8192	1890
93	651	-8192	2509
94	448	-8192	2916
95	722	-8192	2470
96	834	-8192	2599
97	651	-8192	2925
98	704	-8192	3135
99	907	-8192	2428
100	599	-8192	2082
101	593	-8192	1500
102	677	-8192	1781
103	791	-8192	2296
104	802	-8192	1967
105	655	-8192	2501
106	570	-8192	3059
107	883	-8192	2246
108	590	-8192	2432
109	340	-8192	3122
110	701	-8192	2282
111	406	-8192	2262
112	86	-8192	2889
113	664	-8192	2207
114	1012	-8192	1864
115	516	-8192	2633
116	675	-8192	2081
117	520	-8192	2151
118	493	-8192	2117
119	614	-8192	1870
120	528	-8192	2728
121	401	-8192	2748
122	496	-8192	1572
123	276	-8192	2386
124	94	-8192	2698
125	374	-8192	1840
126	166	-8192	1579
127	208	-8192	2434
128	658	-8192	2436
129	918	-8192	2093
130	577	-8192	2115
131	706	-8192	2017
132	1044	-8192	1682
133	1000	-8192	1646
134	810	-8192	1675
135	852	-8192	2129
136	941	-8192	2544
